"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"RSM00034880","ASTRAKAN, RS","1881-01-01","33","36","27"
"RSM00034880","ASTRAKAN, RS","1881-01-02","33","40","26"
"RSM00034880","ASTRAKAN, RS","1881-01-03","31","34","28"
"RSM00034880","ASTRAKAN, RS","1881-01-04","31","32","27"
"RSM00034880","ASTRAKAN, RS","1881-01-05","32","38","30"
"RSM00034880","ASTRAKAN, RS","1881-01-06","35","38","30"
"RSM00034880","ASTRAKAN, RS","1881-01-07","22","36","11"
"RSM00034880","ASTRAKAN, RS","1881-01-08","23","28","13"
"RSM00034880","ASTRAKAN, RS","1881-01-09","31","36","26"
"RSM00034880","ASTRAKAN, RS","1881-01-10","23","30","14"
"RSM00034880","ASTRAKAN, RS","1881-01-11","22","28","12"
"RSM00034880","ASTRAKAN, RS","1881-01-12","27","36","21"
"RSM00034880","ASTRAKAN, RS","1881-01-13","31","34","22"
"RSM00034880","ASTRAKAN, RS","1881-01-14","34","35","30"
"RSM00034880","ASTRAKAN, RS","1881-01-15","33","35","28"
"RSM00034880","ASTRAKAN, RS","1881-01-16","28","29","24"
"RSM00034880","ASTRAKAN, RS","1881-01-17","30","32","28"
"RSM00034880","ASTRAKAN, RS","1881-01-18","23","33","15"
"RSM00034880","ASTRAKAN, RS","1881-01-19","27","36","15"
"RSM00034880","ASTRAKAN, RS","1881-01-20","33","36","29"
"RSM00034880","ASTRAKAN, RS","1881-01-21","38","40","30"
"RSM00034880","ASTRAKAN, RS","1881-01-22","33","42","30"
"RSM00034880","ASTRAKAN, RS","1881-01-23","15","29","11"
"RSM00034880","ASTRAKAN, RS","1881-01-24","19","24","10"
"RSM00034880","ASTRAKAN, RS","1881-01-25","15","19","11"
"RSM00034880","ASTRAKAN, RS","1881-01-26","9","13","7"
"RSM00034880","ASTRAKAN, RS","1881-01-27","5","11","2"
"RSM00034880","ASTRAKAN, RS","1881-01-28","5","16","-4"
"RSM00034880","ASTRAKAN, RS","1881-01-29","17","26","6"
"RSM00034880","ASTRAKAN, RS","1881-01-30","22","27","14"
"RSM00034880","ASTRAKAN, RS","1881-01-31","27","31","23"
"RSM00034880","ASTRAKAN, RS","1881-02-01","30","34","27"
"RSM00034880","ASTRAKAN, RS","1881-02-02","23","30","22"
